LAT,LON,CO,O3,PM025,,max lat,min lat,,,,,,
40.363,-80.115,66.952,30.743,2.9924,,,,,,,,,
40.365,-80.115,67.643,30.646,2.9827,,,,,,,,,
40.367,-80.115,68.077,30.584,2.9768,,,,,,,,,
40.368,-80.115,68.342,30.545,2.9733,,,,,,,,,
40.37,-80.115,68.509,30.52,2.971,,,,,,,,,
40.372,-80.115,68.618,30.504,2.9696,,,,,,,,,
40.374,-80.115,68.693,30.493,2.9686,,,,,,,,,
40.376,-80.115,68.746,30.484,2.9679,,,,,,,,,
40.377,-80.115,68.785,30.479,2.9674,,,,,,,,,
40.379,-80.115,68.814,30.474,2.967,,,,,,,,,
40.381,-80.115,68.837,30.471,2.9667,,,,,,,,,
40.383,-80.115,68.854,30.468,2.9665,,,,,,,,,
40.385,-80.115,68.868,30.466,2.9663,,,,,,,,,
40.386,-80.115,68.88,30.464,2.9662,,,,,,,,,
40.388,-80.115,68.889,30.462,2.966,,,,,,,,,
40.39,-80.115,68.897,30.461,2.9659,,,,,,,,,
40.392,-80.115,68.903,30.46,2.9659,,,,,,,,,
40.394,-80.115,68.909,30.459,2.9658,,,,,,,,,
40.395,-80.115,68.914,30.459,2.9657,,,,,,,,,
40.397,-80.115,68.918,30.458,2.9657,,,,,,,,,
40.399,-80.115,68.921,30.457,2.9656,,,,,,,,,
40.401,-80.115,68.924,30.457,2.9656,,,,,,,,,
40.402,-80.115,68.927,30.457,2.9656,,,,,,,,,
40.404,-80.115,68.93,30.456,2.9655,,,,,,,,,
40.406,-80.115,68.932,30.456,2.9655,,,,,,,,,
40.408,-80.115,68.934,30.456,2.9655,,,,,,,,,
40.41,-80.115,68.935,30.455,2.9654,,,,,,,,,
40.411,-80.115,68.937,30.455,2.9654,,,,,,,,,
40.413,-80.115,68.938,30.455,2.9654,,,,,,,,,
40.415,-80.115,68.939,30.455,2.9654,,,,,,,,,
40.417,-80.115,68.941,30.454,2.9654,,,,,,,,,
40.419,-80.115,68.942,30.454,2.9654,,,,,,,,,
40.42,-80.115,68.943,30.454,2.9654,,,,,,,,,
40.422,-80.115,68.943,30.454,2.9653,,,,,,,,,
40.424,-80.115,68.944,30.454,2.9653,,,,,,,,,
40.426,-80.115,68.945,30.454,2.9653,,,,,,,,,
40.428,-80.115,99.449,31.759,7.8023,,,,,,,,,
40.429,-80.115,136.85,30.295,10.981,,,,,,,,,
40.431,-80.115,136.85,30.295,10.981,,,,,,,,,
40.433,-80.115,136.85,30.295,10.981,,,,,,,,,
40.435,-80.115,136.85,30.295,10.981,,,,,,,,,
40.437,-80.115,136.85,30.295,10.981,,,,,,,,,
40.438,-80.115,136.85,30.295,10.981,,,,,,,,,
40.44,-80.115,136.85,30.295,10.981,,,,,,,,,
40.442,-80.115,136.85,30.295,10.981,,,,,,,,,
40.444,-80.115,136.85,30.295,10.981,,,,,,,,,
40.446,-80.115,136.85,30.295,10.981,,,,,,,,,
40.447,-80.115,136.85,30.295,10.981,,,,,,,,,
40.449,-80.115,136.85,30.295,10.981,,,,,,,,,
40.451,-80.115,136.85,30.295,10.982,,,,,,,,,
40.453,-80.115,136.85,30.295,10.982,,,,,,,,,
40.455,-80.115,138.56,30.295,3.6046,,,,,,,,,
40.456,-80.115,138.56,30.295,3.6046,,,,,,,,,
40.458,-80.115,138.56,30.295,3.6046,,,,,,,,,
40.46,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.462,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.464,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.465,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.467,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.469,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.471,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.473,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.474,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.476,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.478,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.48,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.482,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.483,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.485,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.487,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.489,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.491,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.492,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.494,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.496,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.498,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.5,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.501,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.503,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.505,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.507,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.509,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.51,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.512,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.514,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.516,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.518,-80.115,138.56,33.562,3.6046,,,,,,,,,
40.519,-80.115,138.56,35.424,3.6046,,,,,,,,,
40.521,-80.115,138.56,35.424,3.6046,,,,,,,,,
